TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-19 00:14,,-1,,-1,,4,
2024-01-19 00:07,,10.6,,22.9,,4,
2024-01-18 23:57,,,,,,,
2024-01-18 23:56,,,,,,,
2024-01-18 23:53,,-1,,-1,,2,
2024-01-18 23:49,,-1,,-1,,,
2024-01-18 23:12,,,,,,,
2024-01-18 23:11,,-1,1,-1,43,1,45
2024-01-18 23:10,,-1,1,-1,90,1,57
2024-01-18 23:09,,-1,1,-1,23,1,8
2024-01-18 23:08,,-1,1,-1,4,1,79
2024-01-18 23:07,,-1,1,-1,82,1,23
2024-01-18 23:06,,-1,1,-1,46,1,87
2024-01-18 23:05,,10.2,1,21.6,56,1,68
2024-01-18 23:04,,-1,1,-1,29,1,64
2024-01-18 23:03,,10.2,1,21.4,76,1,92
2024-01-18 23:00,,,,,,,
2024-01-18 22:33,,,,,,,
2024-01-18 22:30,,,,,,,
2024-01-17 17:47,,25.5,,30.7,,2,
2024-01-17 17:46,,25.6,,30.6,,2,
2024-01-17 17:45,,25.6,,,,,
2024-01-17 17:44,,25.6,,30.1,,2,
2024-01-17 17:43,,25.8,,30,,2,
2024-01-17 17:35,,26,,27.8,,2,
2024-01-17 17:34,,26.1,,27.5,,2,
2024-01-17 17:33,,26.1,,27.1,,1,
2024-01-17 17:32,,26.1,,27.7,,1,
2024-01-17 17:31,,26.1,,27.7,,1,
2024-01-17 17:30,,26,,27.9,,1,
2024-01-17 17:28,,26.1,,28.2,,1,
2024-01-17 17:27,,26.1,,28,,1,
2024-01-17 17:26,,26,,28.3,,1,
2024-01-17 17:25,,,,,,,
2024-01-17 17:24,,,,,,,
2024-01-17 17:22,,26,,27.8,,1,
2024-01-17 17:21,,26,,27.3,,1,
2024-01-17 17:20,,25.9,,27.6,,1,
2024-01-17 17:17,,25.9,,27.6,,1,
2024-01-17 17:16,,25.8,,27.6,,1,
2024-01-17 17:15,,,,,,,
2024-01-17 17:14,,,,,,,
2024-01-17 17:13,,25.8,,28.3,,1,
2024-01-17 17:12,,25.7,,28.2,,1,
2024-01-17 17:11,,25.8,,28.2,,1,
2024-01-17 17:10,,25.7,,28.3,,1,
2024-01-17 17:07,,25.8,,28.5,,1,
2024-01-17 17:05,,25.8,,28.8,,,
2024-01-17 05:45,,,,,,,
2024-01-17 05:44,,,,,,,
2024-01-17 05:32,,-1,,-1,,1,
2024-01-17 05:31,,-1,,-1,,1,
2024-01-17 05:30,,-1,,-1,,1,
2024-01-17 05:29,,-1,,-1,,1,
2024-01-17 05:14,,-1,,-1,,1,
2024-01-17 05:13,,-1,,-1,,1,
2024-01-17 05:12,,-1,,-1,,1,
2024-01-17 05:11,,-1,,-1,,1,
2024-01-17 05:10,,-1,,-1,,1,
2024-01-17 05:09,,-1,,-1,,1,
2024-01-17 05:08,,-1,,-1,,1,
2024-01-17 05:07,,-1,,-1,,1,
