TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-19 16:15,,,,,,,
2024-01-19 16:14,,,21.5,,42.4,,17
2024-01-19 16:13,,19,,55.4,,0,
2024-01-19 16:12,,,21.2,,43.1,,19
2024-01-19 16:11,,18.9,21,55.1,42.4,0,19
2024-01-19 16:10,,,,,,,
2024-01-19 16:06,,19.2,21.2,55.1,42.9,,20
2024-01-19 15:58,,,21.1,,43.9,,23
2024-01-19 15:55,,19.4,21.1,,45.4,,16
2024-01-19 15:52,,,,,47.3,,
2024-01-19 15:49,,,20.39,,47.9,,18
2024-01-19 14:45,,,,,,,
2024-01-19 14:32,,,,,,,
2024-01-19 14:28,,15.7,16.5,,59,,38
2024-01-19 14:09,,,16.89,,57.8,,0
2024-01-19 14:08,,,17,,57.4,,0
2024-01-19 14:07,,,17,,58.6,,0
2024-01-19 14:05,,,17,,58.4,,0
2024-01-19 14:04,,,16.89,,58.5,,0
2024-01-19 14:03,,,16.89,,58.4,,0
2024-01-19 14:02,,,16.8,,61.2,,0
2024-01-19 14:01,,,16.7,,61.4,,0
2024-01-19 14:00,,,16.6,,61.5,,4
2024-01-19 13:59,,,16.5,,61.1,,0
2024-01-19 13:58,,,16.39,,60.7,,0
2024-01-19 13:52,,,,,,,
2024-01-19 13:51,,,,,,,
2024-01-19 13:49,,,,,,,
2024-01-19 13:46,,,,,,,
2024-01-19 13:45,,,,,,,
2024-01-19 13:41,,15.6,16.5,74.3,63,0,0
2024-01-19 13:40,,15.6,16.39,74.7,62.8,0,0
2024-01-19 13:39,,15.5,16.39,75,63.2,0,5
2024-01-19 13:38,,15.5,16.39,74.9,63.3,1,0
2024-01-19 13:37,,15.6,16.39,75.1,63.1,0,0
2024-01-19 13:36,,-1,16.3,-1,64,1,0
2024-01-19 13:30,,15.4,16.3,78.1,67.5,0,
2024-01-19 13:29,,15.5,16.3,78.3,67.9,0,0
2024-01-19 13:28,,15.3,16.1,77.8,67.8,0,0
2024-01-19 13:27,,15.3,16.1,77.7,67.5,0,0
2024-01-19 13:26,,15.3,,77.3,,0,
2024-01-19 13:24,,,16.1,,66.9,,0
2024-01-19 13:22,,-1,16.2,-1,66.8,0,0
2024-01-19 13:10,,,,,,,
2024-01-19 13:06,,,,,,,
2024-01-19 13:04,,16.1,,73.6,,0,
2024-01-19 13:03,,16.1,,73.1,,0,
2024-01-19 13:02,,-1,,-1,,0,
2024-01-19 13:01,,16.4,,73.2,,0,
2024-01-19 13:00,,16.3,17.3,72.9,61.4,0,0
2024-01-19 12:59,,16.4,17.2,72.7,61.3,0,0
2024-01-19 12:58,,16.4,17.2,72,61.4,0,1
2024-01-19 12:57,,16.4,17.3,72.1,61,0,0
2024-01-19 12:56,,16.5,17.39,71.7,,0,0
2024-01-19 12:55,,16.6,17.5,71.8,60.7,0,0
2024-01-19 12:54,,-1,3984588.8,-1,63569.92,0,11.81
2024-01-19 12:45,,16.6,17.5,69.9,58.9,0,4
2024-01-19 12:44,,16.6,17.5,69.8,58.3,0,4
2024-01-19 12:43,,16.5,17.39,69.4,58.4,0,4
2024-01-19 12:42,,16.5,17.39,69.1,58.2,0,2
2024-01-19 12:41,,16.5,17.39,68.7,58,0,6
2024-01-19 12:40,,16.5,17.39,68.7,58,0,8
2024-01-19 12:39,,16.5,17.39,68.5,58.1,0,7
2024-01-19 12:38,,16.5,17.39,68.7,58.1,0,2
2024-01-19 12:37,,16.5,17.3,69.2,58.6,0,6
2024-01-19 12:36,,16.5,17.3,69.3,58.8,0,6
2024-01-19 12:35,,16.4,17.3,69.1,58.3,0,4
2024-01-19 12:34,,16.4,17.3,69.2,58.3,0,8
2024-01-19 12:33,,16.4,17.3,69.2,58.3,0,0
2024-01-19 12:32,,16.4,17.2,69.2,58.5,0,17
2024-01-19 12:31,,16.5,17.2,69,58.4,0,6
2024-01-19 12:30,,16.4,17.2,68.8,58.5,0,0
2024-01-19 12:29,,16.3,17.2,69.4,58.5,0,0
2024-01-19 12:28,,16.2,17.1,69.4,58.7,0,0
2024-01-19 12:27,,16.3,17.1,69.3,58.8,0,0
2024-01-19 12:26,,16.2,17,69.4,58.6,0,0
2024-01-19 12:25,,16.2,17,69.2,58.5,0,0
2024-01-19 12:24,,16.3,17,69,58.3,0,0
2024-01-19 12:23,,16.2,17,68.2,58.1,0,0
2024-01-19 12:22,,16.3,17,68.1,57.8,0,0
2024-01-19 12:21,,16.3,17,68,57.8,0,0
2024-01-19 12:20,,16.3,17,68.1,57.9,0,0
