TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-12 21:56,,24.9,,30.7,,1,
2024-01-12 21:55,,24.9,,31.3,,1,
2024-01-12 21:54,,24.9,,31.2,,1,
2024-01-12 21:53,,24.9,,31.6,,1,
2024-01-12 21:52,,24.9,,31,,1,
2024-01-12 21:51,,24.8,,31.2,,1,
2024-01-12 21:50,,24.8,,31.1,,1,
2024-01-12 21:49,,24.7,,31.4,,1,
2024-01-12 21:48,,-1,,-1,,1,
2024-01-12 21:45,,-1,,-1,,1,
2024-01-12 21:36,,-1,1,-1,56,1,23
2024-01-12 21:35,,-1,1,-1,97,1,66
2024-01-12 21:34,,-1,1,-1,97,1,
2024-01-12 21:33,,-1,1,-1,64,1,28
2024-01-12 21:32,,-1,1,-1,30,1,15
2024-01-12 21:31,,-1,1,-1,93,1,57
2024-01-12 21:30,,-1,1,-1,5,1,22
2024-01-12 21:29,,-1,1,-1,,1,
2024-01-12 21:28,,-1,1,-1,71,1,39
2024-01-12 21:27,,-1,1,-1,72,1,14
2024-01-12 21:26,,-1,,-1,,1,
2024-01-12 21:25,,-1,1,-1,61,1,73
2024-01-12 21:24,,-1,1,-1,70,1,94
2024-01-12 21:08,,25.3,,31.6,,1,
2024-01-12 21:07,,25.3,,31,,1,
2024-01-12 21:06,,25.3,,30.9,,1,
2024-01-12 21:05,,25.3,,30.9,,1,
2024-01-12 21:04,,25.3,,31,,1,
2024-01-12 21:03,,25.3,,30.8,,1,
2024-01-12 21:02,,25.4,,30.8,,1,
2024-01-12 21:01,,25.4,,30.8,,1,
2024-01-12 21:00,,25.4,,30.8,,1,
2024-01-12 20:59,,25.4,,30.8,,1,
2024-01-12 20:58,,25.4,,30.6,,1,
2024-01-12 20:57,,25.4,,30.8,,1,
2024-01-12 20:56,,25.5,,30.8,,1,
2024-01-12 20:55,,25.5,,30.7,,1,
2024-01-12 20:54,,25.5,,30.6,,1,
2024-01-12 20:53,,25.6,,30.6,,1,
2024-01-12 20:52,,25.5,,30.5,,1,
2024-01-12 20:51,,25.7,,30.7,,1,
2024-01-12 20:50,,25.6,,30.8,,1,
2024-01-12 20:49,,25.7,20,30.8,40,1,30
2024-01-12 20:48,,25.7,23,31.8,38,1,23
2024-01-12 20:47,,25.7,24,30.7,50,1,40
2024-01-12 20:46,,25.8,21,30.8,49,1,58
2024-01-12 20:45,,25.6,21,30.9,57,1,52
2024-01-12 20:44,,25.7,22,30.8,52,1,70
2024-01-12 20:43,,25.7,29,30.5,68,1,70
2024-01-12 20:42,,25.7,21,31,68,1,70
2024-01-12 20:41,,25.7,30,30.8,54,23,60
2024-01-12 20:40,,25.7,22,30.8,80,1,61
2024-01-12 20:39,,-1,25,-1,69,29,43
2024-01-12 20:31,,27,20,52,45,27,45
2024-01-12 20:30,,20,23,59,69,24,75
2024-01-12 20:26,,25.9,,30.8,,1,
2024-01-12 20:25,,25.8,,31,,1,
2024-01-12 20:24,,25.7,,32.6,,1,
2024-01-12 20:23,,25.7,,31.2,,1,
2024-01-12 20:22,,25.6,,31.3,,1,
2024-01-12 20:21,,25.6,,31.3,,1,
2024-01-12 20:20,,25.6,,31.7,,1,
2024-01-12 20:19,,25.6,,31.6,,1,
2024-01-12 20:18,,-1,,-1,,1,
2024-01-12 20:17,,25.5,,32.1,,1,
2024-01-12 20:16,,25.5,,32.3,,1,
2024-01-12 19:31,,25.5,,30.7,,1,
2024-01-12 19:30,,25.4,,30.8,,1,
2024-01-12 19:29,,25.5,,30.7,,1,
2024-01-12 19:28,,25.6,,30.7,,1,
2024-01-12 19:27,,25.5,,30.8,,1,
2024-01-12 19:26,,25.6,,30.8,,1,
2024-01-12 19:25,,25.6,,30.8,,1,
2024-01-12 19:24,,25.6,,30.7,,1,
2024-01-12 19:23,,25.6,,30.7,,1,
2024-01-12 19:22,,25.7,,30.8,,1,
2024-01-12 19:21,,25.7,,30.9,,1,
2024-01-12 19:20,,25.7,,30.9,,1,
2024-01-12 19:19,,25.8,,30.9,,1,
2024-01-12 19:18,,25.8,,31,,1,
2024-01-12 19:17,,25.8,,30.9,,1,
2024-01-12 19:16,,25.8,,31.1,,1,
2024-01-12 19:15,,25.9,,31.1,,1,
2024-01-12 19:14,,26,,31.1,,1,
2024-01-12 19:13,,26.1,,31,,1,
2024-01-12 19:12,,26.1,,31.1,,1,
2024-01-12 19:11,,26.2,,30.8,,1,
2024-01-12 19:10,,26.3,,30.6,,1,
2024-01-12 19:09,,26.3,,30.8,,1,
2024-01-12 19:08,,26.5,,30.6,,1,
2024-01-12 19:07,,26.6,,30.5,,1,
2024-01-12 19:06,,26.7,,31.3,,1,
2024-01-12 19:05,,26.9,,29.6,,1,
2024-01-12 19:04,,27,,29.5,,1,
2024-01-12 19:03,,27.2,,30,,1,
2024-01-12 19:02,,27.3,,32.1,,1,
2024-01-12 19:01,,27.2,,31.4,,1,
2024-01-12 19:00,,27.7,,28.8,,1,
2024-01-12 18:59,,28.1,,29.8,,1,
2024-01-12 18:58,,27.7,,40.8,,1,
2024-01-12 18:57,,27.8,,32.8,,1,
2024-01-12 18:56,,-1,,-1,,1,
2024-01-12 15:52,,24,,33.6,,3,
2024-01-12 15:51,,24,,33.6,,3,
2024-01-12 15:50,,24,,,,,
2024-01-12 15:48,,24,,31.8,,3,
2024-01-12 15:47,,24.1,,32.7,,3,
2024-01-12 15:46,,24.1,,32.8,,3,
2024-01-12 15:45,,24.1,,33.4,,3,
2024-01-12 15:44,,24.1,,,,,
2024-01-12 15:43,,24.2,,,,,
2024-01-12 15:42,,24,,33.7,,3,
