TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-05 18:50,14:50,6,52,52,52,16,65
2024-01-05 18:49,14:49,6,76,76,76,6,76
2024-01-05 18:48,14:48,12,45,45,45,12,45
2024-01-05 18:47,14:47,6,53,53,53,6,53
2024-01-05 18:46,14:46,2,57,57,57,2,57
2024-01-05 18:45,14:45,11,30,30,30,11,30
2024-01-05 18:44,14:44,18,55,55,55,18,55
2024-01-05 18:43,14:43,7,32,32,32,7,32
2024-01-05 18:42,14:42,3,53,53,53,3,53
2024-01-05 18:41,14:41,17,45,45,45,17,45
2024-01-05 18:40,14:40,16,31,31,31,16,31
2024-01-05 18:39,14:39,18,80,80,80,18,80
2024-01-05 18:38,14:37,8,34,34,34,6,34
2024-01-05 18:37,14:37,17,47,47,52,19,52
2024-01-05 18:36,14:36,4,31,31,31,4,77
2024-01-05 18:35,14:35,0,60,60,60,0,60
2024-01-05 18:34,14:34,5,75,75,75,5,75
2024-01-05 18:33,14:33,9,58,58,58,9,58
2024-01-05 18:32,14:32,8,46,46,46,8,46
2024-01-05 18:31,14:31,16,53,53,53,16,53
2024-01-05 18:30,14:30,17,80,80,80,17,80
2024-01-05 18:29,14:29,20,74,74,74,20,74
2024-01-05 18:28,14:28,7,68,68,68,7,68
2024-01-05 18:27,14:27,8,52,52,52,8,52
2024-01-05 18:26,14:26,4,58,58,58,4,58
2024-01-05 18:25,14:25,7,68,68,68,7,68
2024-01-05 18:24,14:24,1,59,59,59,1,59
2024-01-05 18:23,14:23,19,37,37,37,19,37
2024-01-05 18:22,14:22,13,72,72,72,13,72
2024-01-05 18:21,14:21,9,64,64,64,9,64
2024-01-05 18:20,14:20,10,46,46,46,10,46
2024-01-05 18:19,14:19,16,56,56,56,16,56
2024-01-05 18:18,14:18,6,39,39,39,6,39
2024-01-05 18:17,14:17,20,49,49,49,20,49
2024-01-05 18:16,14:16,15,48,48,48,15,48
2024-01-05 18:15,14:15,13,31,31,31,13,31
2024-01-05 18:14,14:14,13,41,41,41,13,41
2024-01-05 18:13,14:13,10,47,39,47,19,47
2024-01-05 18:12,14:12,15,57,57,57,15,57
2024-01-05 18:11,14:11,16,38,38,38,16,38
2024-01-05 18:10,14:10,4,32,32,32,4,32
2024-01-05 18:09,14:09,0,48,48,48,0,48
2024-01-05 18:08,14:08,5,49,49,49,5,49
2024-01-05 18:07,14:07,7,63,63,63,7,63
2024-01-05 18:06,14:05,19,34,37,34,9,34
2024-01-05 18:05,14:05,12,51,51,51,12,51
2024-01-05 18:04,14:04,20,70,70,70,5,40
2024-01-05 18:03,14:03,3,65,65,65,3,65
2024-01-05 18:02,14:02,12,45,45,45,12,45
2024-01-05 17:58,13:57,,67,,67,0,67
