TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-19 12:04,,,17.5,,57.3,,
2024-01-19 12:03,,17,17.5,66.5,57.3,0,0
2024-01-19 12:02,,17.1,17.5,66.7,57.6,0,0
2024-01-19 12:01,,17.3,17.5,66.6,57.7,0,0
2024-01-19 12:00,,17.3,17.5,67.7,58.5,0,0
2024-01-19 11:59,,-1,17.39,-1,58.5,0,0
2024-01-19 11:55,,16.8,,,,,
2024-01-19 11:36,,-1,1,-1,4,0,89
2024-01-19 11:35,,-1,1,-1,51,0,2
2024-01-19 11:34,,,1,,94,,44
2024-01-19 11:33,,-1,1,-1,50,0,19
2024-01-19 11:32,,-1,1,-1,97,0,77
2024-01-19 11:31,,-1,1,-1,2,0,
2024-01-19 11:30,,-1,1,-1,1,0,66
2024-01-19 11:29,,,1,,44,,64
2024-01-19 10:27,,,1,,77,,36
2024-01-19 10:26,,-1,1,-1,44,0,12
2024-01-19 10:25,,-1,1,-1,9,0,32
2024-01-19 10:24,,-1,1,-1,68,0,16
2024-01-19 10:18,,-1,1,-1,98,0,40
2024-01-19 10:17,,-1,1,-1,22,0,85
2024-01-19 10:16,,-1,1,-1,26,0,62
2024-01-19 10:15,,-1,1,-1,36,0,46
2024-01-19 10:14,,-1,1,-1,93,0,42
2024-01-19 10:03,,-1,1,-1,5,0,38
2024-01-19 10:02,,-1,1,-1,67,0,3
2024-01-19 10:01,,-1,1,-1,35,0,55
2024-01-19 10:00,,-1,1,-1,49,0,77
2024-01-19 09:59,,-1,1,-1,100,0,42
2024-01-19 09:58,,-1,1,-1,41,0,79
2024-01-19 09:57,,-1,1,-1,7,0,62
2024-01-19 09:56,,-1,1,-1,68,0,97
2024-01-19 09:48,,-1,1,-1,17,0,95
2024-01-19 09:47,,-1,1,-1,39,0,21
